agent_id,name,site,team,shift,tier,from_date,to_date
DEMO-A001,Demo Agent 1,Indore,Chat Frontline,Night,1,2023-12-29,
DEMO-A002,Demo Agent 2,Indore,Chat Frontline,Night,1,2022-10-25,
DEMO-A003,Demo Agent 3,Indore,Chat Frontline,Night,1,2023-03-24,
DEMO-A004,Demo Agent 4,Bengaluru,Chat Frontline,Morning,1,2021-04-25,
DEMO-A005,Demo Agent 5,Indore,Chat Frontline,Day,1,2022-06-10,
DEMO-A006,Demo Agent 6,Bengaluru,Chat Frontline,Morning,1,2023-10-28,
DEMO-A007,Demo Agent 7,Bengaluru,Chat Frontline,Day,1,2023-07-12,
DEMO-A008,Demo Agent 8,Indore,Chat Frontline,Day,1,2023-11-05,
DEMO-A009,Demo Agent 9,Bengaluru,Chat Frontline,Day,1,2021-02-02,
DEMO-A010,Demo Agent 10,Indore,Chat Frontline,Day,1,2021-01-02,
DEMO-A011,Demo Agent 11,Bengaluru,Chat Frontline,Morning,1,2024-07-17,
DEMO-A012,Demo Agent 12,Bengaluru,Chat Frontline,Morning,1,2021-11-28,
DEMO-A013,Demo Agent 13,Bengaluru,Chat Frontline,Day,1,2022-10-24,
DEMO-A014,Demo Agent 14,Bengaluru,Chat Frontline,Day,1,2021-10-12,
DEMO-A015,Demo Agent 15,Indore,Chat Frontline,Day,1,2024-10-05,
DEMO-A016,Demo Agent 16,Indore,Email Frontline,Night,1,2024-07-20,
DEMO-A017,Demo Agent 17,Indore,Email Frontline,Night,1,2023-10-15,
DEMO-A018,Demo Agent 18,Bengaluru,Email Frontline,Morning,1,2021-06-10,
DEMO-A019,Demo Agent 19,Bengaluru,Email Frontline,Day,1,2022-04-29,
DEMO-A020,Demo Agent 20,Bengaluru,Email Frontline,Morning,1,2022-01-18,
