ticket_id,created_at,first_response_at,resolved_at,status,channel,customer_id,order_id,product_sku,category,priority,assigned_team,agent_id,transfers,csat_score,refund_amount_inr,refund_reason_code,replacement_issued,customer_message,agent_notes,source_system
DEMO-00001,2025-12-27 11:32,2025-12-27 14:11,2025-12-27 14:26,resolved,social,DEMO-C00001,DEMO-ORDER,VA-EB-PL1,Audio Quality,Normal,Chat Frontline,DEMO-A001,0,,,,N,works for music but useless for meetings. [ID]. please call me on my registered number,"mic issue | checked mic permissions on phone -> permissions fixed, resolved",helpdesk
DEMO-00002,2025-08-22 21:13,2025-08-23 00:23,2025-08-22 19:17,resolved,email,DEMO-C00002,,VA-EB-PL2,Connectivity,Normal,Email Frontline,DEMO-A002,0,0.0,,,N,Very poor quality. This is regarding the Pulse 2 earbuds. bluetooth keeps cutting out. I already turned off wifi. Escalate this to someone senior.,"re: connection dropping | checked fw 1.4.8 -> advised, cx will monitor",legacy_fd
DEMO-00003,2025-11-17 15:19,2025-11-17 15:22,2025-11-17 16:00,resolved,chat,DEMO-C00003,,VA-EB-AIR,Charging & Battery,Normal,Chat Frontline,DEMO-A003,0,4.0,,,N,"I am losing patience. I bought the AirLite buds on 30 Oct. I have to charge it twice a day now, it used to last days. I already fully charged and discharged twice. I want a replacement or refund, nothing else.",esc to warranty. issue: battery draining fast. checked fw 3.0.9.,helpdesk
DEMO-00004,2025-11-13 14:35,2025-11-13 15:26,2025-11-13 15:47,resolved,voice,DEMO-C00004,DEMO-ORDER,VA-EB-PL2,Billing & Payments,Normal,Billing,DEMO-A004,0,,,,N,"[IVR transcript] i have been a loyal customer and this is how you treat me. this is regarding pulse 2. please share invice with gst number. i already cheecked orders page. i want a replacement or refund, nothing else",see prev ~Diya,helpdesk
DEMO-00005,2025-09-26 16:37,2025-09-26 16:44,2025-09-26 17:24,resolved,chat,DEMO-C00005,,VA-EB-PL1,Connectivity,Normal,Chat Frontline,DEMO-A005,0,,,,N,Again the same thing.  This is regarding pulse 1. Not pairing with my phone. I restarted the phone. Nothing changed. Can someone fix this?,"cx says was told fixed last time. reset done, paired ok. issue: unable to pair with phone. walked through forget + re-pair.",helpdesk
DEMO-00006,2025-11-30 08:19,2025-11-30 08:48,2025-12-02 09:16,resolved,chat,DEMO-C00006,DEMO-ORDER,VA-HP-ST2,Returns & Refunds,Normal,Returns Desk,DEMO-A006,0,,8498.0,RETURN-QC-OK,N,"Hi there,
Bought my Strata 2 headphones around 13/11 from Amazon. The return was accepted but the amount is nowhere in my account.
I emailed twice. Nothing changed.
What do I do now?
Please revert, Kavya",Customer states refund delay. Checked refund status on PG. Refund of Rs 8498 initiated to source.,helpdesk
DEMO-00007,2025-11-04 17:49,2025-11-04 19:12,2025-11-05 19:29,resolved,email,DEMO-C00007,DEMO-ORDER,VA-NB-ARC,Returns & Refunds,Normal,Returns Desk,DEMO-A007,1,,,,N,"Hi team, Order [ID] (my Arc). Stiill waiting for my refund. I emailed twice. Need this sorted this week. Awaiting response Harpreet",refund pending | checked reverse pickup qc status -> refund confirmed credited | xfer chat frontline -SK,helpdesk
DEMO-00008,2026-04-13 12:58,2026-04-13 14:48,2026-04-25 16:46,resolved,voice,DEMO-C00008,DEMO-ORDER,VA-EB-AIR,Warranty & Repair,Normal,Escalations & Warranty,DEMO-A008,0,4.0,,,N,"claim number RMA56930, anyone alive there? - can someone fix this?","repair completed, shipped back. issue: repair status follow-up. followed up with service centre.",helpdesk
DEMO-00009,2025-09-05 13:00,2025-09-05 13:02,2025-09-07 07:47,resolved,chat,DEMO-C00009,DEMO-ORDER,VA-EB-PL1,Delivery & Shipping,Normal,Logistics,DEMO-A009,0,0.0,,,Y,"This is very disappointing. I bought Pulse earbuds on 12-08-2025. PICKUP SCHEDULED BUT NO ONE SHOWED UP. I already claled courier. I want a replacement or refund, nothing else.",Cust contacetd re pkp missed. chk pkp AWB. rplc unit dispatched.,legacy_fd
DEMO-00010,2026-04-17 09:19,2026-04-17 09:31,2026-04-17 10:08,resolved,chat,DEMO-C00010,,VA-EB-PL2,Connectivity,Normal,Chat Frontline,DEMO-A010,0,,,,N,I have been a loyal cutsomer and this is how you treat me. Ordered Pulse2 last month. bluetooth pairing fails every time. I already restarted the phone. Escalate this to someone senior.,"customer reached out - pairing failure. walked through forget + re-pair. reset done, paired ok. [closed]",helpdesk
